"match_id","slam","year","SetNo","GameNo","PointNumber","player1","player2","Speed_MPH","ServeNumber","PointServer","PointWinner","ServeWidth","ServeDepth","RallyCount","P1DistanceRun","P2DistanceRun","P1Score","P2Score","state","GameWinner","serving_player_won","speed_ratio","P1BreakPoint","P2BreakPoint","P1GamesWon","P2GamesWon","importance","P1Ace","P2Ace","P1DoubleFault","P2DoubleFault","player1_name","player2_name","player1_avg_welo","player2_avg_welo","ElapsedSeconds"
"2019-wimbledon-2101","wimbledon",2019,1,1,"1","Ashleigh Barty","Saisai Zheng",109,1,1,1,"C","NCTL",3,12.271,9.946,"15","0","15-0",0,1,1.03980263157895,0,0,0,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,0
"2019-wimbledon-2101","wimbledon",2019,1,1,"2","Ashleigh Barty","Saisai Zheng",112,1,1,1,"C","CTL",3,11.561,12.205,"30","0","30-0",0,1,1.06842105263158,0,0,0,0,0.565546247507422,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,21
"2019-wimbledon-2101","wimbledon",2019,1,1,"3","Ashleigh Barty","Saisai Zheng",0,0,1,2,"","",0,0.41,0.425,"30","15","30-15",0,0,0,0,0,0,0,0.113860024567937,0,0,1,0,"barty a.","zheng s.",1564.65529338104,1500,44
"2019-wimbledon-2101","wimbledon",2019,1,1,"4","Ashleigh Barty","Saisai Zheng",0,0,1,2,"BW","CTL",0,1.026,1.44,"30","30","30-30",0,0,0,0,0,0,0,0.00503192684714582,0,0,1,0,"barty a.","zheng s.",1564.65529338104,1500,68
"2019-wimbledon-2101","wimbledon",2019,1,1,"5","Ashleigh Barty","Saisai Zheng",96,1,1,1,"BC","CTL",7,28.282,24.48,"40","30","40-30",0,1,0.91578947368421,0,0,0,0,0.0923260708473559,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,93
"2019-wimbledon-2101","wimbledon",2019,1,1,"6","Ashleigh Barty","Saisai Zheng",82,2,1,2,"BW","NCTL",4,11.074,12.099,"40","40","40-40",0,0,0.782236842105263,0,0,0,0,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,125
"2019-wimbledon-2101","wimbledon",2019,1,1,"7","Ashleigh Barty","Saisai Zheng",90,2,1,1,"C","NCTL",5,15.954,13.883,"AD","40","AD-40",0,1,0.858552631578947,0,0,0,0,0.490913453749807,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,158
"2019-wimbledon-2101","wimbledon",2019,1,1,"8","Ashleigh Barty","Saisai Zheng",110,1,1,1,"BW","NCTL",1,2.629,2.458,"0","0","0-0",1,1,1.04934210526316,0,0,1,0,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,194
"2019-wimbledon-2101","wimbledon",2019,1,2,"9","Ashleigh Barty","Saisai Zheng",91,1,2,1,"BC","NCTL",2,5.033,6.052,"15","0","0-15",0,0,1.00127942681679,0,0,1,0,0.261019313216715,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,248
"2019-wimbledon-2101","wimbledon",2019,1,2,"10","Ashleigh Barty","Saisai Zheng",90,1,2,1,"BW","NCTL",12,31.871,34.919,"30","0","0-30",0,0,0.990276356192426,0,0,1,0,0.546498683163542,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,270
"2019-wimbledon-2101","wimbledon",2019,1,2,"11","Ashleigh Barty","Saisai Zheng",78,2,2,2,"B","NCTL",7,19.485,18.226,"30","15","15-30",0,1,0.858239508700102,0,0,1,0,0.10761639432791,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,312
"2019-wimbledon-2101","wimbledon",2019,1,2,"12","Ashleigh Barty","Saisai Zheng",90,1,2,1,"BW","NCTL",8,21.034,26.961,"40","15","15-40",0,0,0.990276356192426,0,0,1,0,0.302990692751071,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,356
"2019-wimbledon-2101","wimbledon",2019,1,2,"13","Ashleigh Barty","Saisai Zheng",91,1,2,1,"W","NCTL",8,28.533,27.624,"0","0","0-0",1,0,1.00127942681679,1,0,2,0,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,395
"2019-wimbledon-2101","wimbledon",2019,1,3,"14","Ashleigh Barty","Saisai Zheng",112,1,1,1,"C","NCTL",1,9.157,8.913,"15","0","15-0",0,1,1.06842105263158,0,0,2,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,437
"2019-wimbledon-2101","wimbledon",2019,1,3,"15","Ashleigh Barty","Saisai Zheng",112,1,1,1,"BW","CTL",5,17.294,15.674,"30","0","30-0",0,1,1.06842105263158,0,0,2,0,0.565546247507422,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,458
"2019-wimbledon-2101","wimbledon",2019,1,3,"16","Ashleigh Barty","Saisai Zheng",96,1,1,1,"W","CTL",3,5.656,8.906,"40","0","40-0",0,1,0.91578947368421,0,0,2,0,0.837142183250389,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,484
"2019-wimbledon-2101","wimbledon",2019,1,3,"17","Ashleigh Barty","Saisai Zheng",90,2,1,1,"BW","NCTL",11,31.564,38.037,"0","0","0-0",1,1,0.858552631578947,0,0,3,0,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,505
"2019-wimbledon-2101","wimbledon",2019,1,4,"18","Ashleigh Barty","Saisai Zheng",75,2,2,2,"C","NCTL",3,7.675,9.28,"0","15","15-0",0,1,0.825230296827022,0,0,3,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,634
"2019-wimbledon-2101","wimbledon",2019,1,4,"19","Ashleigh Barty","Saisai Zheng",88,1,2,1,"W","CTL",6,17.818,19.098,"15","15","15-15",0,0,0.968270214943705,0,0,3,0,0.0015964639514866,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,677
"2019-wimbledon-2101","wimbledon",2019,1,4,"20","Ashleigh Barty","Saisai Zheng",97,1,2,2,"BC","CTL",1,3.084,2.433,"15","30","30-15",0,1,1.06729785056295,0,0,3,0,0.113860024567937,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,710
"2019-wimbledon-2101","wimbledon",2019,1,4,"21","Ashleigh Barty","Saisai Zheng",95,1,2,2,"BW","CTL",1,2.059,2.138,"15","40","40-15",0,1,1.04529170931423,0,0,3,0,0.29139153972111,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,732
"2019-wimbledon-2101","wimbledon",2019,1,4,"22","Ashleigh Barty","Saisai Zheng",89,1,2,1,"W","CTL",6,17.83,25.609,"30","40","40-30",0,0,0.979273285568065,0,0,3,0,0.0923260708473559,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,753
"2019-wimbledon-2101","wimbledon",2019,1,4,"23","Ashleigh Barty","Saisai Zheng",71,2,2,2,"BW","NCTL",7,22.038,22.623,"0","0","0-0",2,1,0.78121801432958,0,0,3,1,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,789
"2019-wimbledon-2101","wimbledon",2019,1,5,"24","Ashleigh Barty","Saisai Zheng",101,1,1,2,"W","NCTL",2,5.287,8.148,"0","15","0-15",0,0,0.963486842105263,0,0,3,1,0.261019313216715,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,841
"2019-wimbledon-2101","wimbledon",2019,1,5,"25","Ashleigh Barty","Saisai Zheng",86,2,1,2,"W","CTL",6,15.469,17.799,"0","30","0-30",0,0,0.820394736842105,0,0,3,1,0.546498683163542,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,862
"2019-wimbledon-2101","wimbledon",2019,1,5,"26","Ashleigh Barty","Saisai Zheng",87,2,1,1,"C","NCTL",1,5.646,3.309,"15","30","15-30",0,1,0.829934210526316,0,0,3,1,0.10761639432791,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,909
"2019-wimbledon-2101","wimbledon",2019,1,5,"27","Ashleigh Barty","Saisai Zheng",89,2,1,2,"BC","NCTL",10,29.656,26.184,"15","40","15-40",0,0,0.849013157894737,0,0,3,1,0.302990692751071,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,941
"2019-wimbledon-2101","wimbledon",2019,1,5,"28","Ashleigh Barty","Saisai Zheng",110,1,1,1,"C","NCTL",1,4.354,5.987,"30","40","30-40",0,1,1.04934210526316,0,1,3,1,0.0837171962227179,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,985
"2019-wimbledon-2101","wimbledon",2019,1,5,"29","Ashleigh Barty","Saisai Zheng",85,2,1,1,"BW","NCTL",1,4.061,4.081,"40","40","40-40",0,1,0.810855263157895,0,1,3,1,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1005
"2019-wimbledon-2101","wimbledon",2019,1,5,"30","Ashleigh Barty","Saisai Zheng",95,1,1,1,"W","CTL",1,3.351,4.951,"AD","40","AD-40",0,1,0.90625,0,0,3,1,0.490913453749807,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1036
"2019-wimbledon-2101","wimbledon",2019,1,5,"31","Ashleigh Barty","Saisai Zheng",110,1,1,2,"C","CTL",8,22.856,29.723,"40","40","40-40",0,0,1.04934210526316,0,0,3,1,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1057
"2019-wimbledon-2101","wimbledon",2019,1,5,"32","Ashleigh Barty","Saisai Zheng",96,2,1,2,"BW","NCTL",12,31.113,52.228,"40","AD","40-AD",0,0,0.91578947368421,0,0,3,1,0.452955774898066,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1090
"2019-wimbledon-2101","wimbledon",2019,1,5,"33","Ashleigh Barty","Saisai Zheng",111,1,1,2,"W","CTL",2,6.342,7.391,"0","0","0-0",2,0,1.05888157894737,0,1,3,2,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1140
"2019-wimbledon-2101","wimbledon",2019,1,6,"34","Ashleigh Barty","Saisai Zheng",84,2,2,2,"C","NCTL",1,3.511,2.526,"0","15","15-0",0,1,0.924257932446264,0,0,3,2,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1245
"2019-wimbledon-2101","wimbledon",2019,1,6,"35","Ashleigh Barty","Saisai Zheng",89,1,2,2,"BW","NCTL",5,17.862,16.343,"0","30","30-0",0,1,0.979273285568065,0,0,3,2,0.565546247507422,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1279
"2019-wimbledon-2101","wimbledon",2019,1,6,"36","Ashleigh Barty","Saisai Zheng",80,2,2,1,"C","NCTL",10,31.18,34.892,"15","30","30-15",0,0,0.880245649948823,0,0,3,2,0.113860024567937,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1308
"2019-wimbledon-2101","wimbledon",2019,1,6,"37","Ashleigh Barty","Saisai Zheng",77,2,2,1,"BW","NCTL",4,11.4,9.964,"30","30","30-30",0,0,0.847236438075742,0,0,3,2,0.00503192684714582,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1362
"2019-wimbledon-2101","wimbledon",2019,1,6,"38","Ashleigh Barty","Saisai Zheng",76,2,2,2,"C","NCTL",3,9.2,8.23,"30","40","40-30",0,1,0.836233367451382,0,0,3,2,0.0923260708473559,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1405
"2019-wimbledon-2101","wimbledon",2019,1,6,"39","Ashleigh Barty","Saisai Zheng",81,1,2,1,"W","NCTL",10,34.667,32.781,"40","40","40-40",0,0,0.891248720573183,0,0,3,2,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1451
"2019-wimbledon-2101","wimbledon",2019,1,6,"40","Ashleigh Barty","Saisai Zheng",91,1,2,2,"B","NCTL",5,11.639,13.674,"40","AD","AD-40",0,1,1.00127942681679,0,0,3,2,0.490913453749807,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1497
"2019-wimbledon-2101","wimbledon",2019,1,6,"41","Ashleigh Barty","Saisai Zheng",94,1,2,2,"C","NCTL",1,2.841,2.115,"0","0","0-0",2,1,1.03428863868987,0,0,3,3,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1530
"2019-wimbledon-2101","wimbledon",2019,1,7,"42","Ashleigh Barty","Saisai Zheng",90,2,1,1,"BC","CTL",11,38.163,44.672,"15","0","15-0",0,1,0.858552631578947,0,0,3,3,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1561
"2019-wimbledon-2101","wimbledon",2019,1,7,"43","Ashleigh Barty","Saisai Zheng",103,1,1,1,"C","NCTL",5,15.078,18.064,"30","0","30-0",0,1,0.982565789473684,0,0,3,3,0.565546247507422,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1608
"2019-wimbledon-2101","wimbledon",2019,1,7,"44","Ashleigh Barty","Saisai Zheng",115,1,1,1,"C","CTL",1,1.304,1.767,"40","0","40-0",0,1,1.09703947368421,0,0,3,3,0.837142183250389,1,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1636
"2019-wimbledon-2101","wimbledon",2019,1,7,"45","Ashleigh Barty","Saisai Zheng",89,2,1,1,"W","CTL",1,2.876,4.741,"0","0","0-0",1,1,0.849013157894737,0,0,4,3,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1654
"2019-wimbledon-2101","wimbledon",2019,1,8,"46","Ashleigh Barty","Saisai Zheng",97,1,2,2,"BW","NCTL",3,13.867,13.67,"0","15","15-0",0,1,1.06729785056295,0,0,4,3,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1765
"2019-wimbledon-2101","wimbledon",2019,1,8,"47","Ashleigh Barty","Saisai Zheng",97,1,2,2,"C","CTL",11,42.174,35.758,"0","30","30-0",0,1,1.06729785056295,0,0,4,3,0.565546247507422,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1791
"2019-wimbledon-2101","wimbledon",2019,1,8,"48","Ashleigh Barty","Saisai Zheng",93,1,2,2,"C","NCTL",3,8.274,7.49,"0","40","40-0",0,1,1.02328556806551,0,0,4,3,0.837142183250389,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1850
"2019-wimbledon-2101","wimbledon",2019,1,8,"49","Ashleigh Barty","Saisai Zheng",96,1,2,1,"W","CTL",4,14.671,10.622,"15","40","40-15",0,0,1.05629477993859,0,0,4,3,0.29139153972111,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1874
"2019-wimbledon-2101","wimbledon",2019,1,8,"50","Ashleigh Barty","Saisai Zheng",95,1,2,2,"BW","CTL",5,16.279,15.932,"0","0","0-0",2,1,1.04529170931423,0,0,4,4,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1903
"2019-wimbledon-2101","wimbledon",2019,1,9,"51","Ashleigh Barty","Saisai Zheng",0,0,1,2,"","",0,0.45,0.277,"0","15","0-15",0,0,0,0,0,4,4,0.261019313216715,0,0,1,0,"barty a.","zheng s.",1564.65529338104,1500,1954
"2019-wimbledon-2101","wimbledon",2019,1,9,"52","Ashleigh Barty","Saisai Zheng",104,1,1,1,"C","CTL",1,2.22,3.579,"15","15","15-15",0,1,0.992105263157895,0,0,4,4,0.0015964639514866,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1979
"2019-wimbledon-2101","wimbledon",2019,1,9,"53","Ashleigh Barty","Saisai Zheng",89,2,1,2,"C","NCTL",10,29.848,30.715,"15","30","15-30",0,0,0.849013157894737,0,0,4,4,0.10761639432791,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,1997
"2019-wimbledon-2101","wimbledon",2019,1,9,"54","Ashleigh Barty","Saisai Zheng",88,2,1,1,"BW","NCTL",3,8.093,8.047,"30","30","30-30",0,1,0.839473684210526,0,0,4,4,0.00503192684714582,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2040
"2019-wimbledon-2101","wimbledon",2019,1,9,"55","Ashleigh Barty","Saisai Zheng",87,2,1,1,"BC","CTL",5,14.62,25.528,"40","30","40-30",0,1,0.829934210526316,0,0,4,4,0.0923260708473559,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2073
"2019-wimbledon-2101","wimbledon",2019,1,9,"56","Ashleigh Barty","Saisai Zheng",83,2,1,2,"W","NCTL",8,27.625,26.944,"40","40","40-40",0,0,0.791776315789474,0,0,4,4,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2134
"2019-wimbledon-2101","wimbledon",2019,1,9,"57","Ashleigh Barty","Saisai Zheng",88,2,1,1,"C","NCTL",13,41.47,37.151,"AD","40","AD-40",0,1,0.839473684210526,0,0,4,4,0.490913453749807,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2176
"2019-wimbledon-2101","wimbledon",2019,1,9,"58","Ashleigh Barty","Saisai Zheng",109,1,1,1,"C","NCTL",7,24.357,22.791,"0","0","0-0",1,1,1.03980263157895,0,0,5,4,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2229
"2019-wimbledon-2101","wimbledon",2019,1,10,"59","Ashleigh Barty","Saisai Zheng",95,1,2,1,"BC","CTL",10,32.426,31.624,"15","0","0-15",0,0,1.04529170931423,0,0,5,4,0.261019313216715,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2346
"2019-wimbledon-2101","wimbledon",2019,1,10,"60","Ashleigh Barty","Saisai Zheng",96,1,2,1,"B","CTL",6,18.157,24,"30","0","0-30",0,0,1.05629477993859,0,0,5,4,0.546498683163542,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2384
"2019-wimbledon-2101","wimbledon",2019,1,10,"61","Ashleigh Barty","Saisai Zheng",84,2,2,1,"BC","NCTL",12,39.78,34.247,"40","0","0-40",0,0,0.924257932446264,0,0,5,4,0.821438991687667,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2419
"2019-wimbledon-2101","wimbledon",2019,1,10,"62","Ashleigh Barty","Saisai Zheng",95,1,2,1,"C","NCTL",2,6.684,4.632,"0","0","0-0",1,0,1.04529170931423,1,0,6,4,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2480
"2019-wimbledon-2101","wimbledon",2019,2,1,"63","Ashleigh Barty","Saisai Zheng",98,1,1,1,"W","CTL",5,16.737,22.584,"15","0","15-0",0,1,0.934868421052632,0,0,0,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2623
"2019-wimbledon-2101","wimbledon",2019,2,1,"64","Ashleigh Barty","Saisai Zheng",0,0,1,2,"W","CTL",0,1.257,2.19,"15","15","15-15",0,0,0,0,0,0,0,0.0015964639514866,0,0,1,0,"barty a.","zheng s.",1564.65529338104,1500,2650
"2019-wimbledon-2101","wimbledon",2019,2,1,"65","Ashleigh Barty","Saisai Zheng",95,1,1,1,"W","CTL",1,2.915,4.153,"30","15","30-15",0,1,0.90625,0,0,0,0,0.113860024567937,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2677
"2019-wimbledon-2101","wimbledon",2019,2,1,"66","Ashleigh Barty","Saisai Zheng",101,1,1,1,"C","NCTL",7,26.838,27.728,"40","15","40-15",0,1,0.963486842105263,0,0,0,0,0.29139153972111,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2696
"2019-wimbledon-2101","wimbledon",2019,2,1,"67","Ashleigh Barty","Saisai Zheng",112,1,1,1,"C","CTL",1,5.816,6.334,"0","0","0-0",1,1,1.06842105263158,0,0,1,0,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2727
"2019-wimbledon-2101","wimbledon",2019,2,2,"68","Ashleigh Barty","Saisai Zheng",91,1,2,2,"C","NCTL",1,4.525,2.739,"0","15","15-0",0,1,1.00127942681679,0,0,1,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2784
"2019-wimbledon-2101","wimbledon",2019,2,2,"69","Ashleigh Barty","Saisai Zheng",75,2,2,1,"BW","NCTL",10,34.738,45.573,"15","15","15-15",0,0,0.825230296827022,0,0,1,0,0.0015964639514866,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2809
"2019-wimbledon-2101","wimbledon",2019,2,2,"70","Ashleigh Barty","Saisai Zheng",93,1,2,1,"BC","NCTL",8,25.7,24.216,"30","15","15-30",0,0,1.02328556806551,0,0,1,0,0.10761639432791,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2867
"2019-wimbledon-2101","wimbledon",2019,2,2,"71","Ashleigh Barty","Saisai Zheng",0,0,2,1,"W","CTL",0,2.31,1.716,"40","15","15-40",0,0,0,0,0,1,0,0.302990692751071,0,0,0,1,"barty a.","zheng s.",1564.65529338104,1500,2906
"2019-wimbledon-2101","wimbledon",2019,2,2,"72","Ashleigh Barty","Saisai Zheng",91,1,2,2,"BC","NCTL",1,4.454,5.403,"40","30","30-40",0,1,1.00127942681679,1,0,1,0,0.0837171962227179,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2951
"2019-wimbledon-2101","wimbledon",2019,2,2,"73","Ashleigh Barty","Saisai Zheng",98,1,2,2,"C","CTL",7,21.701,16.105,"40","40","40-40",0,1,1.07830092118731,1,0,1,0,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,2976
"2019-wimbledon-2101","wimbledon",2019,2,2,"74","Ashleigh Barty","Saisai Zheng",92,1,2,2,"BW","NCTL",1,1.835,1.859,"40","AD","AD-40",0,1,1.01228249744115,0,0,1,0,0.490913453749807,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3007
"2019-wimbledon-2101","wimbledon",2019,2,2,"75","Ashleigh Barty","Saisai Zheng",70,2,2,1,"W","CTL",2,9.745,6.844,"40","40","40-40",0,0,0.77021494370522,0,0,1,0,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3029
"2019-wimbledon-2101","wimbledon",2019,2,2,"76","Ashleigh Barty","Saisai Zheng",74,2,2,2,"C","NCTL",3,10.592,8.431,"40","AD","AD-40",0,1,0.814227226202661,0,0,1,0,0.490913453749807,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3074
"2019-wimbledon-2101","wimbledon",2019,2,2,"77","Ashleigh Barty","Saisai Zheng",84,2,2,1,"BC","NCTL",10,31.651,35.884,"40","40","40-40",0,0,0.924257932446264,0,0,1,0,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3131
"2019-wimbledon-2101","wimbledon",2019,2,2,"78","Ashleigh Barty","Saisai Zheng",0,0,2,1,"","",0,0.759,0.663,"AD","40","40-AD",0,0,0,0,0,1,0,0.452955774898066,0,0,0,1,"barty a.","zheng s.",1564.65529338104,1500,3187
"2019-wimbledon-2101","wimbledon",2019,2,2,"79","Ashleigh Barty","Saisai Zheng",73,1,2,1,"BW","NCTL",2,8.821,7.164,"0","0","0-0",1,0,0.803224155578301,1,0,2,0,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3230
"2019-wimbledon-2101","wimbledon",2019,2,3,"80","Ashleigh Barty","Saisai Zheng",88,2,1,1,"C","NCTL",3,8.802,9.918,"15","0","15-0",0,1,0.839473684210526,0,0,2,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3272
"2019-wimbledon-2101","wimbledon",2019,2,3,"81","Ashleigh Barty","Saisai Zheng",107,1,1,1,"W","NCTL",3,12.945,12.193,"30","0","30-0",0,1,1.02072368421053,0,0,2,0,0.565546247507422,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3306
"2019-wimbledon-2101","wimbledon",2019,2,3,"82","Ashleigh Barty","Saisai Zheng",97,1,1,1,"BW","NCTL",1,2.855,3.329,"40","0","40-0",0,1,0.925328947368421,0,0,2,0,0.837142183250389,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3330
"2019-wimbledon-2101","wimbledon",2019,2,3,"83","Ashleigh Barty","Saisai Zheng",107,1,1,2,"C","NCTL",2,5.248,4.726,"40","15","40-15",0,0,1.02072368421053,0,0,2,0,0.29139153972111,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3348
"2019-wimbledon-2101","wimbledon",2019,2,3,"84","Ashleigh Barty","Saisai Zheng",111,1,1,1,"C","NCTL",5,17.12,18.156,"0","0","0-0",1,1,1.05888157894737,0,0,3,0,0.0101397905989895,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3367
"2019-wimbledon-2101","wimbledon",2019,2,4,"85","Ashleigh Barty","Saisai Zheng",92,1,2,2,"B","CTL",5,17.236,14.189,"0","15","15-0",0,1,1.01228249744115,0,0,3,0,0.266804360137777,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3491
"2019-wimbledon-2101","wimbledon",2019,2,4,"86","Ashleigh Barty","Saisai Zheng",82,1,2,1,"BW","NCTL",6,19.141,20.432,"15","15","15-15",0,0,0.902251791197544,0,0,3,0,0.0015964639514866,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3517
"2019-wimbledon-2101","wimbledon",2019,2,4,"87","Ashleigh Barty","Saisai Zheng",90,1,2,2,"BC","NCTL",5,14.061,14.564,"15","30","30-15",0,1,0.990276356192426,0,0,3,0,0.113860024567937,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3551
"2019-wimbledon-2101","wimbledon",2019,2,4,"88","Ashleigh Barty","Saisai Zheng",70,2,2,2,"BW","NCTL",7,18.493,19.042,"15","40","40-15",0,1,0.77021494370522,0,0,3,0,0.29139153972111,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3581
"2019-wimbledon-2101","wimbledon",2019,2,4,"89","Ashleigh Barty","Saisai Zheng",0,0,2,1,"C","CTL",0,1.843,1.598,"30","40","40-30",0,0,0,0,0,3,0,0.0923260708473559,0,0,0,1,"barty a.","zheng s.",1564.65529338104,1500,3628
"2019-wimbledon-2101","wimbledon",2019,2,4,"90","Ashleigh Barty","Saisai Zheng",87,1,2,1,"BW","NCTL",4,12.917,13.786,"40","40","40-40",0,0,0.957267144319345,0,0,3,0,0.0055929641218978,0,0,0,0,"barty a.","zheng s.",1564.65529338104,1500,3666
